# step E_mixed E_primitive r
670 -0.500000 -224.934839 0.009116
671 -0.500000 -224.975857 0.009111
672 -0.500000 -225.059310 0.009111
673 -0.500000 -225.079676 0.009075
674 -0.500000 -225.131444 0.009070
675 -0.500000 -225.175600 0.009050
676 -0.500000 -225.178330 0.009069
677 -0.500000 -225.257679 0.009080
678 -0.500000 -225.272254 0.009057
679 -0.500000 -225.389976 0.009027
680 -0.500000 -225.486165 0.009006
681 -0.500000 -225.577425 0.009004
682 -0.500000 -225.597192 0.009008
683 -0.500000 -225.674521 0.009024
684 -0.500000 -225.706347 0.009016
685 -0.500000 -225.788415 0.008983
686 -0.500000 -225.832378 0.008997
687 -0.500000 -225.913128 0.009024
688 -0.500000 -225.947507 0.009034
689 -0.500000 -225.983795 0.009028
690 -0.500000 -226.051456 0.009025
691 -0.500000 -226.070484 0.008994
692 -0.500000 -226.153729 0.008998
693 -0.500000 -226.213767 0.008994
694 -0.500000 -226.229141 0.008985
695 -0.500000 -226.257620 0.008986
696 -0.500000 -226.271579 0.008979
697 -0.500000 -226.281684 0.008968
698 -0.500000 -226.540016 0.008941
699 -0.500000 -226.722805 0.008962
700 -0.500000 -226.763942 0.008957
701 -0.500000 -226.775691 0.009002
702 -0.500000 -226.825629 0.008999
703 -0.500000 -226.854129 0.009003
704 -0.500000 -226.912750 0.008990
705 -0.500000 -227.018112 0.008986
706 -0.500000 -227.036479 0.008960
707 -0.500000 -227.099897 0.008952
708 -0.500000 -227.168603 0.008964
709 -0.500000 -227.190333 0.008963
710 -0.500000 -227.238660 0.008947
711 -0.500000 -227.329775 0.008966
712 -0.500000 -227.402876 0.008930
713 -0.500000 -227.435395 0.008926
714 -0.500000 -227.482796 0.008934
715 -0.500000 -227.485814 0.008954
716 -0.500000 -227.551498 0.008940
717 -0.500000 -227.656808 0.008933
718 -0.500000 -227.735735 0.008931
719 -0.500000 -227.754326 0.008950
720 -0.500000 -227.813509 0.008983
721 -0.500000 -227.979792 0.008963
722 -0.500000 -228.045117 0.008963
723 -0.500000 -228.075136 0.008962
724 -0.500000 -228.227121 0.008946
725 -0.500000 -228.302305 0.008918
726 -0.500000 -228.357432 0.008904
727 -0.500000 -228.385671 0.008901
728 -0.500000 -228.518330 0.008923
729 -0.500000 -228.560687 0.008924
730 -0.500000 -228.699088 0.008910
731 -0.500000 -228.805585 0.008860
732 -0.500000 -228.861629 0.008878
